"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"QT_VOTOS_LEGENDA"
"09/08/2020";"01:22:03";"2016";"2";"Eleição Ordinária";"1";"220";"Eleições Municipais 2016";"02/10/2016";"M";"SC";"81779";"JOAÇABA";"81779";"JOAÇABA";"18";"11";"Prefeito";"Coligação";"55";"PSD";"Partido Social Democrático";"240000000846";"PRA FRENTE JOAÇABA";"PSD / PR / PRB / PDT / PV / PSC / DEM / SD";"N";"4833";"0"
"09/08/2020";"01:22:03";"2016";"2";"Eleição Ordinária";"1";"220";"Eleições Municipais 2016";"02/10/2016";"M";"SC";"80950";"DESCANSO";"80950";"DESCANSO";"45";"13";"Vereador";"Coligação";"13";"PT";"Partido dos Trabalhadores";"240000000804";"UNIDOS POR UM DESCANSO MELHOR";"PT / PSDB / PC do B / PSB";"N";"1283";"93"
"09/08/2020";"01:22:03";"2016";"2";"Eleição Ordinária";"1";"220";"Eleições Municipais 2016";"02/10/2016";"M";"SC";"80950";"DESCANSO";"80950";"DESCANSO";"45";"13";"Vereador";"Coligação";"65";"PC do B";"Partido Comunista do Brasil";"240000000804";"UNIDOS POR UM DESCANSO MELHOR";"PT / PSDB / PC do B / PSB";"N";"74";"2"
"09/08/2020";"01:22:03";"2016";"2";"Eleição Ordinária";"1";"220";"Eleições Municipais 2016";"02/10/2016";"M";"SC";"80225";"ABDON BATISTA";"80225";"ABDON BATISTA";"52";"13";"Vereador";"Coligação";"40";"PSB";"Partido Socialista Brasileiro";"240000000547";"POR AMOR AO POVO ABDONENSE";"PSD / PSB";"N";"219";"1"
"09/08/2020";"01:22:03";"2016";"2";"Eleição Ordinária";"1";"220";"Eleições Municipais 2016";"02/10/2016";"M";"SC";"80381";"CERRO NEGRO";"80381";"CERRO NEGRO";"52";"13";"Vereador";"Coligação";"55";"PSD";"Partido Social Democrático";"240000000589";"UNIDOS PELA RENOVAÇÃO";"PSD / PMDB / PR";"N";"623";"36"
"09/08/2020";"01:22:03";"2016";"2";"Eleição Ordinária";"1";"220";"Eleições Municipais 2016";"02/10/2016";"M";"SC";"81795";"JOINVILLE";"81795";"JOINVILLE";"76";"11";"Prefeito";"Partido isolado";"11";"PP";"Partido Progressista";"240000000583";"PARTIDO ISOLADO";"PP";"N";"1341";"0"
"09/08/2020";"01:22:03";"2016";"2";"Eleição Ordinária";"1";"220";"Eleições Municipais 2016";"02/10/2016";"M";"SC";"80691";"CAMPOS NOVOS";"80691";"CAMPOS NOVOS";"7";"13";"Vereador";"Coligação";"65";"PC do B";"Partido Comunista do Brasil";"240000000663";"PR, PRB, PT, PTN, PCdoB e PDT";"PRB / PDT / PT / PTN / PR / PC do B";"N";"574";"13"
"09/08/2020";"01:22:03";"2016";"2";"Eleição Ordinária";"1";"220";"Eleições Municipais 2016";"02/10/2016";"M";"SC";"83178";"SÃO DOMINGOS";"83178";"SÃO DOMINGOS";"75";"13";"Vereador";"Coligação";"25";"DEM";"Democratas";"240000000605";"UNIÃO POR SÃO DOMINGOS";"PP / PSB / PSDB / DEM";"N";"188";"3"
"09/08/2020";"01:22:03";"2016";"2";"Eleição Ordinária";"2";"221";"Eleições Municipais 2016";"30/10/2016";"M";"SC";"80470";"BLUMENAU";"80470";"BLUMENAU";"89";"11";"Prefeito";"Coligação";"55";"PSD";"Partido Social Democrático";"240000000588";"BLUMENAU MERECE MAIS";"PSD / PRB / PSL / PR / PSC / PROS / PPS";"N";"25900";"0"
"09/08/2020";"01:22:03";"2016";"2";"Eleição Ordinária";"1";"220";"Eleições Municipais 2016";"02/10/2016";"M";"SC";"81132";"GAROPABA";"81132";"GAROPABA";"73";"11";"Prefeito";"Partido isolado";"45";"PSDB";"Partido da Social Democracia Brasileira";"240000000956";"PARTIDO ISOLADO";"PSDB";"N";"1844";"0"
"09/08/2020";"01:22:03";"2016";"2";"Eleição Ordinária";"1";"220";"Eleições Municipais 2016";"02/10/2016";"M";"SC";"83925";"PESCARIA BRAVA";"83925";"PESCARIA BRAVA";"20";"11";"Prefeito";"Coligação";"45";"PSDB";"Partido da Social Democracia Brasileira";"240000001252";"PESCARIA BRAVA NO RUMO CERTO.";"PSDB / PR";"N";"2627";"0"
